date,day_start_ts_s,price_open_usd,price_high_usd,price_low_usd,price_close_usd,market_cap_close_usd,volume_24h_close_usd
2025-04-19,1745020800.0,1589.0383030121732,1619.9735137085827,1586.4566214316078,1618.448075577537,195319683590.7984,5589261184.349083
2025-04-20,1745107200.0,1613.6301991547682,1617.0287009498843,1571.5445538284162,1581.6040811239568,190888325200.3702,6601497809.141824
2025-04-21,1745193600.0,1586.3316796392694,1649.2442046872607,1571.389080628032,1577.0525446706358,190374931633.16333,14764897991.62959
2025-04-22,1745280000.0,1578.7839199994824,1751.834251497923,1564.9009715618863,1746.793208792367,210770380452.6903,22829694074.433548
2025-04-23,1745366400.0,1757.9260709743578,1814.0735743967386,1751.3268258996502,1803.5818670189085,217701206002.06342,22862071960.200703
2025-04-24,1745452800.0,1796.006939720349,1796.006939720349,1733.6852344086776,1760.1413020556472,212475171265.12558,14211823257.27856
2025-04-25,1745539200.0,1769.353842327614,1808.7173616065531,1745.7130992951465,1797.8045012380112,217041969692.15707,16411008896.255747
2025-04-26,1745625600.0,1790.5351144924468,1817.3360676227048,1788.364469587394,1817.3360676227048,219408250242.12488,10207083201.406979
2025-04-27,1745712000.0,1821.8866227731005,1843.6786141975185,1793.928792395812,1793.928792395812,216577351370.7958,9660340451.48595
2025-04-28,1745798400.0,1793.529267244852,1816.985618148521,1760.3677232234143,1801.2853132958962,217406001786.90866,15119268178.688843
2025-04-29,1745884800.0,1800.1010871231133,1832.2267441171073,1793.0787607628647,1794.8633925739844,216785417648.6705,13646453497.737017
2025-04-30,1745971200.0,1798.9291194006541,1815.2607328824356,1750.4263968172445,1797.71519832472,217007718983.57422,13893627935.162533
2025-05-01,1746057600.0,1796.9319896931136,1862.48203361244,1796.9319896931136,1838.7804770669857,222046622593.04297,14293151333.56451
2025-05-02,1746144000.0,1839.9549314623546,1863.1971382759236,1816.70334977005,1835.655871058904,221633966351.91245,11812101613.270056
2025-05-03,1746230400.0,1842.452917581662,1842.452917581662,1822.4649974152262,1841.828927342048,222512054058.84552,6358527506.375896
2025-05-04,1746316800.0,1834.483783405862,1846.6184612269244,1817.2554684540448,1817.2554684540448,219403955926.41064,6856492427.398268
2025-05-05,1746403200.0,1808.6303042363204,1828.2165443565045,1790.011200429572,1826.0432785155529,220465492739.29532,10540118287.729748
2025-05-06,1746489600.0,1818.5978495141944,1818.5978495141944,1763.9738538249753,1808.3930612144245,218488574938.31845,11325062524.682693
2025-05-07,1746576000.0,1817.273863095156,1843.2984401867095,1793.3443761184217,1817.9775714707328,219471677550.76602,48908455199.49389
2025-05-08,1746662400.0,1811.709547761422,2181.7164084234,1811.709547761422,2180.1702953317786,263333148585.67078,35531856218.47277
2025-05-09,1746748800.0,2202.0859687473653,2411.733512124925,2198.2538767693986,2335.426186252951,282154143506.6792,44900764207.5852
2025-05-10,1746835200.0,2343.0800462070592,2577.0763576188947,2330.3388694315536,2577.0763576188947,310909052862.57526,27959506195.055298
2025-05-11,1746921600.0,2582.983998398728,2582.983998398728,2462.533734758777,2501.018796919014,301906098275.97217,27677363069.71543
2025-05-12,1747008000.0,2509.652769049867,2574.938935577758,2443.223474051164,2488.7558379805832,300624618365.7189,31222320784.342247
2025-05-13,1747094400.0,2493.597278406928,2693.093801248166,2425.7601283044037,2692.6072947156576,325319421529.28754,32898341915.542892
2025-05-14,1747180800.0,2676.639163127913,2690.3732925170607,2580.419455497946,2596.3996340952376,313474208555.12146,28781576358.351353
2025-05-15,1747267200.0,2609.010738285919,2635.9021502165165,2498.0099653226157,2547.3021542428714,307533254739.47723,26081077554.163666
2025-05-16,1747353600.0,2545.164709532804,2625.767716928986,2545.164709532804,2546.2337063140153,307749087544.25305,21078194743.40897
2025-05-17,1747440000.0,2540.1707179128266,2540.1707179128266,2458.8441592006197,2462.5921144113718,297357299107.82776,16517942599.627104
2025-05-18,1747526400.0,2476.1381403269975,2575.9898635458676,2396.875493358906,2433.234095580067,293441105742.2126,24097220767.54822
2025-05-19,1747612800.0,2473.8388724116753,2521.8274378683736,2370.8394723665187,2503.3632536763234,302162840009.1375,29483756355.341877
2025-05-20,1747699200.0,2530.030833562055,2568.5224960658747,2466.085801537128,2507.8720468161687,302767586253.9225,22800702015.91032
2025-05-21,1747785600.0,2523.24767489843,2599.2199821675194,2481.0411355559795,2527.8488071736037,305099681516.62836,31652183223.86461
2025-05-22,1747872000.0,2558.9502343769486,2668.496207569373,2558.9502343769486,2642.0511487892027,319012795472.73535,30784725887.19893
2025-05-23,1747958400.0,2658.6712468472556,2720.7558201807396,2540.685216007815,2541.583536858652,306768284511.1122,31103368116.12471
2025-05-24,1748044800.0,2519.813809045145,2572.8314357517725,2519.813809045145,2531.5239102054193,305647473502.76465,11100915746.26897
2025-05-25,1748131200.0,2529.763966464483,2546.9586899785268,2480.5366950706252,2546.9586899785268,307340483660.2657,13812283940.09193
2025-05-26,1748217600.0,2548.14797380859,2581.4803699125796,2535.183470445663,2561.485552491816,309251158392.7199,13414886477.252548
2025-05-27,1748304000.0,2562.4409846186127,2695.96645777102,2528.7360322826144,2664.0850217490665,321625859489.23517,26239828713.53709
2025-05-28,1748390400.0,2662.0940568241435,2668.262824678078,2626.869392991634,2647.387721367338,319606437502.4742,19174498406.011616
2025-05-29,1748476800.0,2679.875687205419,2771.2377710157893,2642.579583935659,2654.398230276697,320643221426.97186,27046366930.48023
2025-05-30,1748563200.0,2631.9083003349624,2641.1995100845966,2538.708338538409,2538.708338538409,306701598867.1544,22428529998.835144
2025-05-31,1748649600.0,2527.700316388642,2544.2218342112633,2497.457240920738,2537.09543363727,306300114895.518,13990111768.47992
2025-06-01,1748736000.0,2531.533172761844,2542.110593839726,2484.639705530568,2538.2395701089686,306429018903.105,11388992962.684628
2025-06-02,1748822400.0,2538.2846946910217,2581.0574546255903,2482.8971024299476,2581.0574546255903,311513969291.06287,14717989406.23702
2025-06-03,1748908800.0,2610.8639611906437,2644.188726818387,2596.0489731564157,2607.8954256506913,314866421038.90485,16890765144.344448
2025-06-04,1748995200.0,2594.777557170298,2666.5168838496515,2594.2900703412733,2608.9283641514044,314960540430.63934,16962960066.431005
2025-06-05,1749081600.0,2609.9504866476827,2631.86616540575,2427.8002121189434,2429.281797249793,293249301437.0645,25443410000.632515
2025-06-06,1749168000.0,2419.508274317192,2518.0929327099175,2419.508274317192,2484.6794271959197,299931361064.3965,19196892422.147694
2025-06-07,1749254400.0,2481.4039836690267,2540.388289113767,2472.529254456486,2540.388289113767,306690188309.4393,8338820156.115299
2025-06-08,1749340800.0,2525.8150122010156,2537.395870467981,2501.0754231422834,2510.88756893113,303169005088.6328,10116082764.34475
2025-06-09,1749427200.0,2509.012947498987,2663.1489841610355,2483.971415769446,2663.1489841610355,321347415279.22815,19555941670.75261
2025-06-10,1749513600.0,2682.354038332218,2804.784285738751,2669.951937389213,2804.784285738751,338469215668.1808,38792993952.95684
2025-06-11,1749600000.0,2808.503208314919,2869.470679689285,2759.436044535815,2760.7066744310096,333550103486.5726,32096501232.526188
2025-06-12,1749686400.0,2774.902334202254,2774.902334202254,2638.575921439931,2640.172953841632,318687124631.1991,25617015236.859524
2025-06-13,1749772800.0,2650.1019438066674,2650.1019438066674,2473.1817145546624,2573.603300652316,310682982389.92566,31788533242.882427
2025-06-14,1749859200.0,2578.1893703419114,2578.1893703419114,2498.5295677516056,2526.6873327737826,304986172695.7065,12145868421.01138
2025-06-15,1749945600.0,2533.1594418173227,2553.7985563164634,2501.0679801007755,2544.3178333596215,307149946195.4513,10602799646.699633
2025-06-16,1750032000.0,2547.1986772890696,2671.943426433189,2542.4962771223527,2571.2854928492116,310096481848.14105,20662793865.424698
